date,WETH,LDO,WETH_price,LDO_price,WETH_usd_volume,LDO_usd_volume,daily_volume_usd,fees_usd
2023-03-07,5543106.319808032,9115.347010728972,1561.96,2.553,8658110347.287354,23271.480918391066,8658133618.768272,25974400.856304817
2023-03-08,5787190.801431402,9158.052502470953,1532.38,2.359,8868175440.297451,21603.845853328978,8868197044.143305,26604591.132429916
2023-03-09,4920454.91796979,7600.435323499546,1437.32,2.28,7072268262.696339,17328.992537578964,7072285591.688876,21216856.77506663
2023-03-10,7594752.785238163,12081.683169760227,1426.44,2.307,10833459162.975124,27872.44307263684,10833487035.418198,32500461.106254593
2023-03-11,8841032.19978808,13188.829545581273,1471.97,2.13,13013734167.12206,28092.20693208811,13013762259.328993,39041286.77798698
2023-03-12,9939809.833317738,14415.37868147924,1580.33,2.45,15708179673.88702,35317.67776962414,15708214991.564789,47124644.974694364
2023-03-13,10149548.737394786,16075.61201348286,1673.45,2.671,16984762334.593304,42937.959688012714,16984805272.552992,50954415.817658976
2023-03-14,6309325.71024265,10253.8008932478,1699.4,2.754,10722068111.986359,28238.967660004444,10722096350.95402,32166289.05286206
2023-03-15,9743169.922848735,14595.938753001701,1649.96,2.299,16075840645.9035,33556.06319315091,16075874201.966692,48227622.60590008
2023-03-16,4390846.283538512,6285.32132380705,1673.73,2.391,7349091150.146914,15028.203285222657,7349106178.350199,22047318.535050597
2023-03-17,4876145.3295790525,6934.5672465622365,1789.27,2.552,8724740553.855911,17697.015613226828,8724758250.871525,26174274.752614576
2023-03-18,4987524.513827892,7317.240355770586,1758.84,2.476,8772257615.901049,18117.48712088797,8772275733.38817,26316827.20016451
2023-03-19,1788953.5927906916,2518.513677793787,1780.68,2.471,3185553883.610529,6223.247297828448,3185560106.8578267,9556680.32057348
2023-03-20,2236360.171460537,3048.2999203716063,1732.78,2.285,3875120177.903389,6965.365318049121,3875127143.268707,11625381.42980612
2023-03-21,2150073.4419257743,2873.63810011583,1801.23,2.406,3872776785.7999625,6913.973268878688,3872783699.7732315,11618351.099319695
2023-03-22,5082862.540150818,6763.517058259305,1734.33,2.366,8815360989.25977,16002.481359841515,8815376991.741129,26446130.97522339
2023-03-23,2717469.7036300246,3596.7174749611877,1813.79,2.314,4928919373.747102,8322.804237060189,4928927696.551339,14786783.089654017
2023-03-24,2485618.6632964876,3059.272710763641,1749.57,2.142,4348763844.743636,6552.9621464557185,4348770397.705783,13046311.193117348
2023-03-25,1421824.2714751535,1709.8630791453852,1741.88,2.041,2476647261.9971404,3489.830544535731,2476650751.827685,7429952.255483055
2023-03-26,3516190.8330889535,4329.481732337956,1773.88,2.149,6237300594.999833,9304.056242794268,6237309899.056076,18711929.697168227
2023-03-27,2502528.436386018,3086.7414791660262,1715.22,2.101,4292386824.6580257,6485.243847727821,4292393309.9018736,12877179.929705622
2023-03-28,2480352.8244690285,3126.665446790461,1772.99,2.332,4397640754.2553425,7291.383821915354,4397648045.639164,13192944.136917492
2023-03-29,2504644.7719220156,3364.7340494496666,1793.07,2.38,4491003401.190208,8008.067037690206,4491011409.257246,13473034.227771739
2023-03-30,2132066.9124123035,2784.4484882382058,1793.61,2.33,3824096534.7718315,6487.764977595019,3824103022.536809,11472309.067610428
2023-03-31,2326079.9077033466,3065.499436865381,1821.52,2.453,4237001073.4797997,7519.670118630779,4237008593.1499186,12711025.779449755
2023-04-01,1262378.8010967462,1671.8115469782795,1820.79,2.406,2298526697.2489448,4022.3785820297408,2298530719.6275268,6895592.158882581
2023-04-02,1863612.1956981092,2463.2281866934736,1794.51,2.337,3344270721.302214,5756.5642723026485,3344276477.8664865,10032829.433599459
2023-04-03,2030251.7368378672,2701.8126060123977,1810.51,2.401,3675791072.062327,6487.052067035766,3675797559.1143937,11027392.677343182
2023-04-04,2455244.879177475,3316.1067063427936,1870.37,2.583,4592216364.667173,8565.503622483437,4592224930.170795,13776674.790512387
2023-04-05,2949340.230524676,4143.565709463603,1908.69,2.595,5629376204.600143,10752.55301605805,5629386957.153159,16888160.871459477
2023-04-06,1694200.2058943058,2290.993570487687,1872.41,2.596,3172237407.5185575,5947.4193089860355,3172243354.9378667,9516730.0648136
2023-04-07,1175756.8042261384,1612.91595246144,1863.72,2.486,2191281471.1723385,4009.70905781914,2191285480.8813963,6573856.442644189
2023-04-08,1347428.8231025026,1764.2789292991736,1848.82,2.384,2491153356.7283688,4206.040967449229,2491157562.769336,7473472.688308009
2023-04-09,1643173.0413670128,2083.244931039985,1858.92,2.345,3054527230.0579677,4885.209363288765,3054532115.267331,9163596.345801994
2023-04-10,1881219.543132627,2421.065314672283,1910.2,2.463,3593505571.291944,5963.083870037834,3593511534.375814,10780534.603127442
2023-04-11,4131870.2141533033,5126.342616896245,1889.86,2.329,7808656242.919762,11939.251954751357,7808668182.171717,23426004.54651515
2023-04-12,2938546.8807415566,3533.3699490958625,1917.39,2.326,5634340403.665053,8218.618501596977,5634348622.283555,16903045.866850667
2023-04-13,2672509.8549629,3206.4798790177715,2012.01,2.446,5377116553.283904,7843.04978407747,5377124396.333688,16131373.189001063
2023-04-14,3217499.091920577,3916.514298119621,2099.99,2.627,6756715918.042292,10288.683061160244,6756726206.725353,20270178.620176062
2023-04-15,1576824.7078928177,1910.0912965831374,2090.6,2.503,3296509734.3207245,4780.958515347593,3296514515.2792397,9889543.545837719
2023-04-16,1567050.974929714,1901.2681116527654,2118.67,2.572,3320063889.0543375,4890.061583170913,3320068779.1159205,9960206.337347763
2023-04-17,1343713.5761549722,1626.9860472854534,2074.0,2.492,2786861956.945412,4054.44922983535,2786866011.394642,8360598.034183926
2023-04-18,1546000.1426746994,1856.5073259560606,2103.5,2.526,3252011300.11623,4689.537505365009,3252015989.653735,9756047.968961205
2023-04-19,1636129.1398176523,1911.745597660568,1933.73,2.257,3163832001.539589,4314.809813919902,3163836316.349403,9491508.949048208
2023-04-20,1284848.435437642,1438.9550794392212,1942.98,2.139,2496434813.08663,3077.924914920494,2496437891.0115447,7489313.673034634
2023-04-21,862765.8522512402,956.6150766195861,1848.78,2.045,1595064252.3250477,1956.2778316870535,1595066208.6028795,4785198.6258086385
2023-04-22,395310.39652040636,439.40173685404557,1874.16,2.102,740874932.7426848,923.6224508672037,740875856.3651357,2222627.569095407
2023-04-23,542378.2310109715,598.7303108691452,1862.0,2.077,1009908266.1424289,1243.5628556752147,1009909509.7052846,3029728.529115854
2023-04-24,733648.6355555393,834.1969514291601,1841.84,2.082,1351263402.9116144,1736.7980528755113,1351265139.7096672,4053795.419129002
2023-04-25,1395980.3868111123,1600.295543093021,1866.1,2.145,2605038999.8282166,3432.63393993453,2605042432.4621563,7815127.297386469
2023-04-26,707362.2025451452,794.0592961872671,1866.01,2.063,1319944943.5712664,1638.1443280343321,1319946581.7155945,3959839.7451467835
2023-04-27,573061.2378493517,638.8681658752942,1908.68,2.142,1093790523.4583006,1368.45561130488,1093791891.9139118,3281375.6757417354
2023-04-28,251161.1192133431,276.54642003280964,1890.94,2.086,474930606.765279,576.8758321884409,474931183.6411112,1424793.5509233335
2023-04-29,327529.83237821254,359.28855940469435,1907.8,2.102,624861414.2111539,755.2245518686675,624862169.4357058,1874586.5083071173
2023-04-30,216598.49876230388,235.34190175725445,1870.09,2.026,405058686.55039686,476.8026929601975,405059163.3530898,1215177.4900592694
2023-05-01,585283.7378007695,633.5623082117545,1830.73,1.974,1071496497.3040028,1250.6519964100034,1071497747.9559991,3214493.2438679975
2023-05-02,255988.7738012149,274.046696145315,1870.08,1.991,478719486.11017597,545.6269720253223,478720031.737148,1436160.095211444
2023-05-03,1528280.098072998,1567.9231585772602,1905.12,2.024,2911556980.4408298,3173.476472960375,2911560153.9173026,8734680.461751908
2023-05-04,523658.73884762375,539.7131942307143,1877.07,1.897,982944108.928709,1023.835929455665,982945132.7646385,2948835.3982939157
2023-05-05,1744147.961812913,1687.50840071749,1993.3,1.934,3476610132.281679,3263.641246987626,3476613395.922926,10429840.187768778
2023-05-06,695207.1068938512,661.6215144094276,1896.33,1.842,1318342093.0160167,1218.7068295421657,1318343311.7228463,3955029.9351685387
2023-05-07,367412.524173655,355.6229941181928,1870.4,1.828,687208385.2144043,650.0788332480565,687209035.2932376,2061627.1058797128
2023-05-08,2096887.5505923585,1952.6601328143129,1847.56,1.828,3874125562.972418,3569.462722784564,3874129132.4351406,11622387.397305422
2023-05-09,1624214.4270911692,1640.7908264584144,1846.52,1.846,2999144423.9123855,3028.899865642233,2999147452.812251,8997442.358436754
2023-05-10,963514.9204036428,977.6689986467376,1840.84,1.873,1773676806.0758417,1831.1740344653394,1773678637.249876,5321035.911749628
2023-05-11,1186461.2728861945,1132.344203455192,1794.3,1.649,2128867461.9396987,1867.2355914976115,2128869329.17529,6386607.98752587
2023-05-12,3920195.212404846,3878.5244263420495,1807.45,1.904,7085556836.6611395,7384.710507755262,7085564221.371647,21256692.66411494
2023-05-13,2433921.2281516097,2552.095362076952,1795.11,1.879,4369156335.867236,4795.387185342593,4369161131.254421,13107483.393763265
2023-05-14,2632461.662901289,2813.165080407195,1799.21,1.927,4736351348.508628,5420.969109944665,4736356769.477737,14209070.308433212
2023-05-15,4228194.216194935,4831.4439965753745,1816.2,2.121,7679246335.453241,10247.49271673637,7679256582.945958,23037769.748837873
2023-05-16,6294076.525093994,7643.481427646758,1824.21,2.211,11481717337.841715,16899.73743652698,11481734237.579151,34445202.712737456
2023-05-17,5929403.268309986,7589.364825190081,1822.12,2.36,10804084283.25299,17910.900987448593,10804102194.153978,32412306.582461935
2023-05-18,3218041.885440014,3978.667547319095,1800.56,2.133,5794277497.247871,8486.49787843163,5794285983.745749,17382857.95123725
2023-05-19,2856762.5291047604,3366.158721518597,1812.32,2.175,5177367866.747139,7321.395219302947,5177375188.142358,15532125.564427074
2023-05-20,551903.2956378442,653.1584640158331,1819.42,2.149,1004143894.1494067,1403.6375391700255,1004145297.7869458,3012435.8933608374
2023-05-21,619898.5295647463,717.2576437434745,1804.91,2.069,1118861054.9967062,1484.0060649052489,1118862539.0027711,3356587.6170083135
2023-05-22,775975.8042188649,880.3894916163723,1817.35,2.027,1410219627.797154,1784.5494995063868,1410221412.3466535,4230664.237039961
2023-05-23,685713.4642363747,764.4308973197943,1854.05,2.04,1271347048.3674505,1559.4390305323805,1271348607.8064811,3814045.8234194433
2023-05-24,1793221.2478672622,1980.5606653558073,1799.89,2.052,3227600991.823807,4064.1104853101165,3227605055.934292,9682815.167802876
2023-05-25,1106955.823748325,1258.2361561101995,1805.6,2.012,1998719435.3599756,2531.5711460937214,1998721966.9311216,5996165.900793365
2023-05-26,1615561.9198042154,1767.685121049767,1827.79,1.99,2952907921.398947,3517.6933908890364,2952911439.0923376,8858734.317277012
2023-05-27,615929.3926523166,663.3152287924223,1829.89,1.973,1127083036.3205476,1308.7209464074492,1127084345.041494,3381253.0351244817
2023-05-28,1613498.337614985,1770.9861457585077,1908.64,2.097,3079587467.105465,3713.7579476555907,3079591180.8634124,9238773.542590238
2023-05-29,2654234.1231033076,2989.0755879450567,1892.6,2.181,5023403501.38532,6519.173857308168,5023410020.559177,15070230.061677532
2023-05-30,2854434.2655254765,3300.2962478931204,1900.59,2.156,5425109220.715065,7115.438710457568,5425116336.153775,16275349.008461326
2023-05-31,1930242.974632764,2193.471204202143,1873.63,2.092,3616561144.561186,4588.741759190883,3616565733.302945,10849697.199908836
2023-06-01,1054363.2844184623,1170.5555291866049,1861.78,2.082,1962992475.6646047,2437.096611766511,1962994912.7612164,5888984.738283649
2023-06-02,2764838.3865115335,3269.4523424280173,1906.68,2.303,5271662054.793811,7529.548744611724,5271669584.342555,15815008.753027666
2023-06-03,1292999.7247029007,1573.646967874047,1892.06,2.308,2446433059.1213703,3631.9772018533004,2446436691.0985723,7339310.073295717
2023-06-04,1372557.091281455,1680.3137957202787,1890.01,2.273,2594146628.0928626,3819.3532576721936,2594150447.4461203,7782451.342338361
2023-06-05,3266444.8968119165,3914.0809806318475,1810.5,2.209,5913898485.677975,8646.204886215752,5913907131.882861,17741721.395648584
2023-06-06,4123073.776799424,5205.800187417908,1884.64,2.406,7770509762.707267,12525.155250927488,7770522287.862517,23311566.86358755
2023-06-07,3669922.7578101857,4660.467331639204,1832.13,2.273,6723775582.266776,10593.24224481591,6723786175.509021,20171358.526527062
2023-06-08,1720711.7848572202,2066.882132099852,1845.64,2.154,3175814498.60388,4452.06411254308,3175818950.6679926,9527456.852003979
2023-06-09,1501380.659934763,1785.0100575060326,1840.37,2.157,2763095925.12414,3850.2666940405124,2763099775.390834,8289299.326172502
2023-06-10,4590782.408846466,4864.476214329188,1751.53,1.813,8040893112.566851,8819.295376578819,8040901931.862227,24122705.795586683
2023-06-11,2346874.593112776,2417.26553777248,1752.76,1.828,4113507911.8243494,4418.761403048094,4113512330.5857525,12340536.991757257
2023-06-12,1588694.9108752606,1645.2389347319752,1742.57,1.792,2768412090.8439026,2948.2681710396996,2768415039.1120734,8305245.11733622
2023-06-13,1628481.3732872894,1661.4319582561743,1740.12,1.776,2833753007.284678,2950.703157862966,2833755957.987836,8501267.873963509
2023-06-14,1841249.7776235898,1876.0449062551352,1650.95,1.681,3039811320.367666,3153.6314874148825,3039814473.999153,9119443.42199746
2023-06-15,1565168.8807143623,1575.1582077507435,1666.96,1.684,2609073917.395613,2652.566421852252,2609076569.962035,7827229.709886106
2023-06-16,833792.8051820035,856.2544486566504,1717.92,1.754,1432389335.8782675,1501.870302943765,1432390837.7485704,4297172.513245711
2023-06-17,754785.7343130123,788.4993773400624,1727.76,1.791,1304088600.3166502,1412.2023848160518,1304090012.5190349,3912270.0375571046
2023-06-18,633925.2570289953,638.2581326172381,1720.95,1.713,1090953671.0840495,1093.336181173329,1090954764.4202306,3272864.293260692
